PTJ NO,BAHAGIAN/UNIT,SEKTOR,PTJ
10200012,KELANTAN,NEGERI,KN
10110001,PEJ. K.EKSEKUTIF,PEJ. K.EKSEKUTIF,PKE
10200006,WPKL,NEGERI,WPKL
10110003,PEJ.  UNDANG2,PEJ. K.EKSEKUTIF,PUU
10200009,JOHOR,NEGERI,JH
10110004,AUDIT & RISIKO,PEJ. K.EKSEKUTIF,BAR
10200010,PAHANG,NEGERI,PH
10120001,SUMBER MANUSIA,PENGURUSAN,BSM
10200008,MELAKA,NEGERI,ML
10120002,TEK. MAKLUMAT,PENGURUSAN,BTM
10200030,SABAH,NEGERI,SB
10120003,KEWANGAN & AKAUN,PENGURUSAN,BKA
10200003,PULAU PINANG,NEGERI,PP
10120004,U.PGRSN FASILITI,DASAR & KORP,UPF
10200004,PERAK,NEGERI,PR
10130001,PENGURUSAN LEVI,PEMATUHAN,BPLV
10200021,MIRI,CWGN,MR
10130003,PENGUATKUASAAN,PEMATUHAN,BPGK
10200001,PERLIS,NEGERI,PL
10130007,PMTHN KUALITI,PEMATUHAN,BPKB
10200002,KEDAH,NEGERI,KD
10140007,PBGN TEKNOLOGI,PMBGNAN TEK. & BIS,BPT
10200032,SANDAKAN,CWGN,SD
10140008,PSKTRN BISNES,PMBGNAN TEK. & BIS,BPS
10200007,N.SEMBILAN,NEGERI,NS
10150008,PDFTR KONT&PBINAAN,PDFTR & AKRE,BPKPB
10200020,SARAWAK,NEGERI,SR
10150009,LATIHAN & AKRE,PDFTR & AKRE,BLA
10160001,DSR STRA&T.URUS,DASAR & KORP,BSTU
10200011,TERENGGANU,NEGERI,TR
10160003,KOMUNIKASI KORP,DASAR & KORP,BKK
10200023,SIBU,CWGN,SI
10170003,PBGN P.BINAAN,KONT & PB,BPB
10200005,SL-SELANGOR,NEGERI,SL
10170004,PBGN KONT,KONT & PB,BPK
10200031,TAWAU,CWGN,TW
10200022,BINTULU,CWGN,BT
